"CWNS_ID","FACILITY_ID","STATE_CODE","CONGRESSIONAL_DISTRICT_ID","CD_PRIMARY_FLAG"
"34002501022",3521718,NJ,"3407",Y
"29001019009",3522576,MO,"2904",Y
"01000188003",1102020,AL,"0102",Y
"13000126001",1109128,GA,"1301",Y
"17000035001",1113326,IL,"1717",Y
"18001493001",1120248,IN,"1802",Y
"16000012001",1128559,ID,"1602",Y
"16000028001",1128575,ID,"1602",Y
"16000057001",1128606,ID,"1601",Y
"55002060001",1206278,WI,"5503",Y
"55003140001",1206451,WI,"5502",Y
"36003016001",1220350,NY,"3617",Y
"36003121001",1220565,NY,"3619",Y
"36004038002",1220738,NY,"3620",Y
"36009082002",1221409,NY,"3623",Y
"55004730001",1229243,WI,"5507",Y
"36005054001",1232134,NY,"3621",Y
"36009130001",1232194,NY,"3624",Y
"17000170001",1232699,IL,"1712",Y
"29002464001",1233260,MO,"2904",Y
"26000516001",1088570,MI,"2609",Y
"13000778001",1109602,GA,"1302",Y
"17000673001",1113941,IL,"1711",Y
"17005713001",1114250,IL,"1716",Y
"18000005001",1120060,IN,"1804",Y
"18000016001",1120069,IN,"1805",Y
"13000800009",3522933,GA,"1305",Y
"39002813010",3529517,OH,"3903",Y
"26007003007",3539057,MI,"2604",Y
"26007003030",3539166,MI,"2602",Y
"01201200004",3540156,AL,"0103",Y
"51000010203",3541856,VA,"5105",Y
"51000010113",3542041,VA,"5101",Y
"33000274001",3542438,NH,"3302",Y
"20001901001",1130686,KS,"2002",Y
"29001005001",1133232,MO,"2906",Y
"29002452001",1133847,MO,"2906",Y
"23000171001",1142604,ME,"2302",Y
"31000225001",1145791,NE,"3103",Y
"31000231001",1145796,NE,"3103",Y
"31000431001",1145825,NE,"3103",Y
"31002655001",1146084,NE,"3103",Y
"27000046001",1147937,MN,"2705",Y
"27000344001",1148165,MN,"2706",Y
"27007014001",1148387,MN,"2707",Y
"27008602001",1148443,MN,"2707",Y
"18002220001",1234190,IN,"1808",Y
"51000090001",1235966,VA,"5109",Y
"39011410001",2816865,OH,"3902",Y
"37002313114",2932303,NC,"3710",Y
"53000128001",3022229,WA,"5309",Y
"04002801011",3120248,AZ,"0406",Y
"36006113001",1221024,NY,"3621",Y
"36008012001",1221209,NY,"3624",Y
"55000410001",1229138,WI,"5502",Y
"55001170001",1229159,WI,"5502",Y
"31000069001",1230167,NE,"3103",Y
"17000287002",1232709,IL,"1715",Y
"37000904001",1236358,NC,"3707",Y
"26000572001",1239214,MI,"2610",Y
"06021010005",2902596,CA,"0602",Y
"34002034021",2977644,NJ,"3412",Y
"44000015003",411996,RI,"4401",Y
"48006022001",417949,TX,"4817",Y
"27044000132",425287,MN,"2702",Y
"27044000127",425333,MN,"2708",Y
"34008506011",442571,NJ,"3407",Y
"20002004087",448660,KS,"2001",Y
"12000001055",457111,FL,"1225",Y
"27009808001",1148582,MN,"2707",Y
"38000260001",1151500,ND,"3800",Y
"38000363001",1151599,ND,"3800",Y
"37001903001",1153239,NC,"3709",Y
"37005602002",1153489,NC,"3711",Y
"37009701001",1153795,NC,"3705",Y
"45009015001",1157278,SC,"4501",Y
"28000110002",1160200,MS,"2804",Y
"28000170001",1160220,MS,"2801",Y
"34007291011",442633,NJ,"3403",Y
"34002545011",442648,NJ,"3403",Y
"20002004187",450498,KS,"2001",Y
"34030242121",488990,NJ,"3409",Y
"34003494021",3133288,NJ,"3402",Y
"37007611001",3154250,NC,"3709",Y
"08209000128",3500280,CO,"0805",Y
"53200802037",3506640,WA,"5308",Y
"12000383006",3507945,FL,"1212",Y
"31000640001",1145851,NE,"3103",Y
"27000212001",1148073,MN,"2707",Y
"27009319001",1148477,MN,"2702",Y
"38000065001",1151318,ND,"3800",Y
