"FACILITY_DOCUMENT_ID","DOCUMENT_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_TYPE_ID","DOCUMENT_TYPE","PUBLISHED_DATE","BASE_MONTH_COST_INFO","CERT_FLAG","SELF_CERT_FLAG","AGE_CERT"
9472,5938,"27000259001",1148110,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9469,5938,"27003605001",1231532,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8912,5938,"27003712001",1148305,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9690,5938,"27007909001",1231554,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9850,5938,"27007413001",1148419,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10085,5938,"27000108001",1231490,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9948,5938,"27005604001",1148353,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9606,5938,"27000225001",1148086,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9383,5938,"27000228001",1231499,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10139,5938,"27003807001",1231535,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9667,5938,"27000209001",1148070,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10086,5938,"27002012001",1148249,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9947,5938,"27001708001",1148237,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9348,5938,"27007608001",1148426,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
