"FACILITY_DOCUMENT_ID","DOCUMENT_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_TYPE_ID","DOCUMENT_TYPE","PUBLISHED_DATE","BASE_MONTH_COST_INFO","CERT_FLAG","SELF_CERT_FLAG","AGE_CERT"
4537,3912,"36003194001",1220675,NY,"21",Facility Plan or Preliminary Engineering Report ,2019-10-01,2019-10-01,,,
11250,4720,"18000005001",1120060,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11268,4720,"18002220001",1234190,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11258,4720,"18000157001",1120136,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11265,4720,"18002060001",1120266,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11266,4720,"18002120001",1120271,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11255,4720,"18000104001",1120116,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11432,4720,"18002030001",1120263,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11416,4720,"18000039001",1120085,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11433,4720,"18002170001",1234189,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11417,4720,"18002010001",1120260,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11263,4720,"18001008001",1234182,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11437,4720,"18003051001",1120284,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11253,4720,"18000061003",3515376,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11438,4720,"18120000062",3531536,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11259,4720,"18000229001",1120147,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11260,4720,"18000275001",1120157,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11251,4720,"18000026001",1234167,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11254,4720,"18000102001",1120114,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11271,4720,"18004973001",1120445,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11261,4720,"18000405001",1120185,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11262,4720,"18000851001",1120225,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
11257,4720,"18000107001",1120119,IN,"96",Excel Spreadsheet Annotations,2022-08-15,2022-08-01,,,
5845,4728,"16000176001",1128701,ID,"21",Facility Plan or Preliminary Engineering Report ,2020-02-01,2020-02-01,,,
5907,4749,"35000062001",2923504,NM,"20",CIP or Master Plan,2022-07-01,2022-07-01,,,
5945,4776,"18000705001",1120208,IN,"3",CWSRF Loan Pre-applications/Final Applications,2020-06-03,2020-06-01,,,
5946,4776,"18000000043",3608535,IN,"3",CWSRF Loan Pre-applications/Final Applications,2020-06-03,2020-06-01,,,
5948,4777,"19000542001",1123929,IA,"96",Excel Spreadsheet Annotations,2022-08-17,2022-08-01,,,
5989,4788,"32000200407",406726,NV,"21",Facility Plan or Preliminary Engineering Report ,2022-06-01,2022-06-01,,,
6000,4792,"19001051001",1124327,IA,"71",Small Community Form,2022-08-17,2022-08-17,,,
6129,4850,"16000070001",1128620,ID,"21",Facility Plan or Preliminary Engineering Report ,2018-04-23,2018-04-01,,,
6216,4907,"22000000195",3608606,LA,"20",CIP or Master Plan,2021-12-15,2021-12-01,,,
6225,4913,"37000000022",3608608,NC,"3",CWSRF Loan Pre-applications/Final Applications,2022-04-12,2022-04-01,,,
6229,4916,"22000140001",1168177,LA,"96",Excel Spreadsheet Annotations,2022-08-23,2022-08-01,,,
6258,4924,"37009209001",1153772,NC,"20",CIP or Master Plan,2021-06-07,2021-06-01,,,
7225,4924,"37009220003",404428,NC,"20",CIP or Master Plan,2021-06-07,2021-06-01,,,
6373,4924,"37009201001",1153761,NC,"20",CIP or Master Plan,2021-06-07,2021-06-01,,,
6448,4924,"37009220001",3173188,NC,"20",CIP or Master Plan,2021-06-07,2021-06-01,,,
6262,4924,"37000000013",3608376,NC,"20",CIP or Master Plan,2021-06-07,2021-06-01,,,
6293,4935,"29002442001",1133844,MO,"21",Facility Plan or Preliminary Engineering Report ,2022-07-12,2022-07-01,,,
6344,4957,"01000000141",3608650,AL,"96",Excel Spreadsheet Annotations,2022-08-25,2022-06-01,,,
6436,4998,"45000220002",1157115,SC,"20",CIP or Master Plan,2022-01-11,2022-01-01,,,
6440,5002,"34003505001",1073669,NJ,"3",CWSRF Loan Pre-applications/Final Applications,2022-03-22,2022-03-01,,,
6451,5007,"45000000087",3608679,SC,"20",CIP or Master Plan,2019-01-01,2019-01-01,,,
6453,5007,"45000000088",3608681,SC,"20",CIP or Master Plan,2019-01-01,2019-01-01,,,
7007,5195,"37007401001",1236387,NC,"3",CWSRF Loan Pre-applications/Final Applications,2022-04-25,2022-04-01,,,
7014,5202,"49000267001",1170601,UT,"23",Final Engineer's Estimate/Lowest Bids,2022-03-23,2022-03-01,,,
8527,5210,"54000000036",3609177,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8614,5210,"54000000060",3609201,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8596,5210,"54000000048",3609189,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8627,5210,"54000000065",3609206,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8590,5210,"54000000045",3609186,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8529,5210,"54000000038",3609179,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8594,5210,"54000000047",3609188,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8618,5210,"54000000062",3609203,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8612,5210,"54000000059",3609200,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8604,5210,"54000000053",3609194,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8610,5210,"54000000058",3609199,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8588,5210,"54000000044",3609185,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8592,5210,"54000000046",3609187,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8621,5210,"54000000063",3609204,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8523,5210,"54000000034",3609175,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8616,5210,"54000000061",3609202,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8544,5210,"54000000043",3609184,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8606,5210,"54000000055",3609196,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8533,5210,"54000000039",3609180,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8535,5210,"54000000040",3609181,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8598,5210,"54000000049",3609190,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8608,5210,"54000000057",3609198,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8602,5210,"54000000050",3609191,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
8624,5210,"54000000064",3609205,WV,"101a",State-Specific Approach (submitted as primary),2022-09-08,2022-01-01,,,
7158,5271,"37008307001",1153701,NC,"20",CIP or Master Plan,2017-04-28,2017-04-01,,,
7781,5612,"13000000317",3607248,GA,"20",CIP or Master Plan,2019-09-01,2019-09-01,,,
7788,5612,"13000184001",1109191,GA,"20",CIP or Master Plan,2019-09-01,2019-09-01,,,
7767,5612,"13000000475",3608940,GA,"20",CIP or Master Plan,2019-09-01,2019-09-01,,,
7778,5612,"13000000080",3606982,GA,"20",CIP or Master Plan,2019-09-01,2019-09-01,,,
7793,5612,"13000184004",1109194,GA,"20",CIP or Master Plan,2019-09-01,2019-09-01,,,
7784,5623,"44000031001",1144312,RI,"96",Excel Spreadsheet Annotations,2022-09-23,2022-01-01,,,
7897,5641,"06025011001",2830221,CA,"20",CIP or Master Plan,2020-01-01,2020-01-01,,,
7809,5641,"06005011001",1175532,CA,"20",CIP or Master Plan,2020-01-01,2020-01-01,,,
8226,5842,"29001183001",1133507,MO,"22",Engineer's Study,2022-08-04,2022-08-01,,,
8229,5843,"06005004001",1238814,CA,"3",CWSRF Loan Pre-applications/Final Applications,2017-09-11,2017-09-01,,,
8245,5854,"06005249001",1175733,CA,"96",Excel Spreadsheet Annotations,2022-10-03,2022-10-01,,,
8252,5854,"06005249003",1175735,CA,"96",Excel Spreadsheet Annotations,2022-10-03,2022-10-01,,,
8318,5902,"51000009001",1192591,VA,"3",CWSRF Loan Pre-applications/Final Applications,2021-07-29,2021-07-01,,,
9982,5938,"27000250001",1148104,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9371,5938,"27003314001",1148285,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10342,5938,"27044000207",425401,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10084,5938,"27000301001",1231506,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8447,5938,"27000344001",1148165,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9365,5938,"27007014001",1148387,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9609,5938,"27008602001",1148443,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10251,5938,"27044000127",425333,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9352,5938,"27009808001",1148582,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8945,5938,"27000212001",1148073,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8661,5938,"27009319001",1148477,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9981,5938,"27001002001",1231511,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9381,5938,"27001005001",1148184,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8666,5938,"27001706001",1148235,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9189,5938,"27000077001",1147960,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8946,5938,"27000201001",1148063,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9377,5938,"27000145001",1148014,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10073,5938,"27008902001",1148446,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8644,5938,"27000317001",1148140,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8373,5938,"27000283001",1231503,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9471,5938,"27001611001",1148229,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8748,5938,"27003408001",1148291,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9887,5938,"27000253001",1231502,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10080,5938,"27008212001",1148439,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9143,5938,"27043000009",3405377,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8494,5938,"27003412001",1231528,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8831,5938,"27009402001",1148480,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9615,5938,"27005405001",1148339,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9727,5938,"27000223001",1148084,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9070,5938,"27007114001",1231549,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10252,5938,"27005803001",1148361,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9728,5938,"27007802001",1148433,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8626,5938,"27000139001",1148009,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9291,5938,"27001216001",1231516,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9942,5938,"27044000120",423747,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10231,5938,"27000111001",1147989,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8620,5938,"27000157001",1148023,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9259,5938,"27003805001",1231534,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8834,5938,"27000213001",1148074,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9603,5938,"27003013001",1231522,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8812,5938,"27003515001",1148296,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9695,5938,"27001313001",1148207,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9069,5938,"27000287001",1148120,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10260,5938,"27003716001",1148309,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9473,5938,"27001518001",1148223,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10166,5938,"27000002009",1147893,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9475,5938,"27000293001",1148125,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10424,5938,"27009407001",1148485,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9068,5938,"27044000211",425905,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
