"CWNS_ID","FACILITY_ID","STATE_CODE","IMPLEMENTATION_STATUS","REMAINING_COST","ANNUAL_COST"
"54002703001",1095006,WV,Not Considering Implementation,0,0
"54004114001",1095194,WV,Considering Implementation,30000,0
"54004122001",1095202,WV,Considering Implementation,30000,0
"23000064001",1142499,ME,In Process of Developing,0,0
"54005003002",3513416,WV,Fully Implemented,0,30000
"12000018017",1078140,FL,Not Considering Implementation,0,0
"12000155001",1078316,FL,Not Considering Implementation,0,0
"23000133001",1142571,ME,In Process of Developing,0,0
"04001341002",1069470,AZ,Fully Implemented,0,0
"04002116001",1069587,AZ,Not Considering Implementation,0,0
"04002117001",1069589,AZ,Fully Implemented,0,0
"23000187001",2986822,ME,Fully Implemented,0,0
"23000152001",3204570,ME,Fully Implemented,0,0
"04001320004",1069459,AZ,Fully Implemented,0,0
"25000070001",1092369,MA,Fully Implemented,0,0
"54000102001",1094689,WV,Considering Implementation,30000,0
"54001022001",1094778,WV,Considering Implementation,30000,0
"54002608001",1094999,WV,Fully Implemented,0,25000
"54000602001",1094743,WV,Considering Implementation,30000,0
"54001017002",1094776,WV,Considering Implementation,40000,0
"54005406001",1095318,WV,Considering Implementation,30000,0
"54005407001",1095319,WV,Fully Implemented,0,9900
"12000327002",1239658,FL,Not Considering Implementation,0,0
"04002801014",3375075,AZ,Fully Implemented,0,0
"23000045001",1142479,ME,Fully Implemented,0,0
"51001400023",1193041,VA,Considering Implementation,0,0
"54001803001",1239024,WV,Considering Implementation,30000,0
"04001343001",1069472,AZ,Not Considering Implementation,0,0
"04001363001",1069493,AZ,Fully Implemented,0,0
"04002102001",1069580,AZ,Not Considering Implementation,0,0
"12000001050",1078122,FL,Not Considering Implementation,0,0
"54001013001",1094767,WV,Considering Implementation,25000,0
"54002701001",1095005,WV,Considering Implementation,30000,0
"54004401001",1095232,WV,Considering Implementation,30000,0
"54005505003",1095332,WV,Considering Implementation,30000,0
"54005510006",1095347,WV,Considering Implementation,30000,0
"04002801024",439664,AZ,Fully Implemented,0,0
"25000015001",1092319,MA,Fully Implemented,0,0
"54001592003",1094836,WV,Fully Implemented,0,0
"54003204001",1095095,WV,Considering Implementation,30000,0
"04002101001",1069573,AZ,Fully Implemented,0,0
"04002501005",1069615,AZ,Not Considering Implementation,0,0
"12000001033",1078108,FL,Not Considering Implementation,0,0
"12000250001",1078386,FL,Fully Implemented,0,0
"54000210002",1094706,WV,Not Considering Implementation,0,0
"23000068002",1142505,ME,Fully Implemented,0,0
"04000501003",1069361,AZ,In Process of Developing,0,0
"04001343002",1069473,AZ,Not Considering Implementation,0,0
"04002801009",3120048,AZ,Fully Implemented,0,0
"54000103001",1094690,WV,Considering Implementation,10800,0
"54004015001",1095175,WV,Not Considering Implementation,0,0
"54004801001",1095263,WV,Considering Implementation,30000,0
"25000032001",1092334,MA,In Process of Developing,0,0
"54000210004",1094708,WV,Not Considering Implementation,0,0
"04001316010",3210408,AZ,In Process of Developing,0,0
"54003905001",3510556,WV,Fully Implemented,0,50000
"54004009002",3513461,WV,Considering Implementation,30000,0
"54000901001",3507788,WV,Considering Implementation,30000,0
"54002505006",3513997,WV,Considering Implementation,30000,0
"04001343004",3502147,AZ,Not Considering Implementation,0,0
"54002508002",3513436,WV,Considering Implementation,30000,0
"25000003001",1092309,MA,Considering Implementation,0,0
"25000245001",1092529,MA,Not Considering Implementation,0,0
"54001495001",1094825,WV,Considering Implementation,30000,0
"54002505001",1094988,WV,Considering Implementation,30000,0
"54004101001",1095179,WV,Considering Implementation,30000,0
"23000118001",1142557,ME,In Process of Developing,0,0
"25000027001",1092330,MA,Fully Implemented,0,0
"04002301003",1069597,AZ,Not Considering Implementation,0,0
"12000001031",1078106,FL,Not Considering Implementation,0,0
"04002511004",3509177,AZ,Fully Implemented,0,0
"54003916001",3395395,WV,Considering Implementation,30000,0
"54000209001",1094704,WV,Not Considering Implementation,0,0
"54002099050",1094939,WV,Not Considering Implementation,0,0
"54003012001",1095062,WV,Considering Implementation,30000,0
"54002703002",1095007,WV,Not Considering Implementation,0,0
"54003703001",1095145,WV,Fully Implemented,0,17000
"23000103001",1142542,ME,Not Considering Implementation,0,0
"04001316011",3507701,AZ,Fully Implemented,0,0
"54001017003",3513078,WV,Considering Implementation,40000,0
"04000703001",1069374,AZ,Fully Implemented,0,0
"04001904003",3539165,AZ,Fully Implemented,0,0
"04002502001",1069621,AZ,Not Considering Implementation,0,0
"12000046006",1239588,FL,Not Considering Implementation,0,0
"25000057001",1092360,MA,Fully Implemented,0,0
"54000504001",1094735,WV,Considering Implementation,30000,0
"54002805001",1095036,WV,Considering Implementation,30000,0
"54003103001",1095087,WV,Considering Implementation,30000,0
"12000266001",2805199,FL,Not Considering Implementation,0,0
"54000208012",3385433,WV,Not Considering Implementation,0,0
"54001207001",1094799,WV,Not Considering Implementation,0,0
"04001506001",1069527,AZ,Fully Implemented,0,0
"54000317001",3036109,WV,Considering Implementation,30000,0
"54001030001",1094780,WV,Considering Implementation,30000,0
"54002008001",1094899,WV,Considering Implementation,30000,0
"54002508001",1094991,WV,Considering Implementation,30000,0
"04001304003",1069438,AZ,Fully Implemented,0,0
"23000030001",1142464,ME,Considering Implementation,0,0
"54001007001",1094764,WV,Considering Implementation,30000,0
"54001727001",1094866,WV,Considering Implementation,30000,0
"54003332001",1095114,WV,Fully Implemented,0,0
"04002501011",404164,AZ,Fully Implemented,0,0
"54004109001",3384770,WV,Fully Implemented,0,75000
"04001315005",1069454,AZ,Fully Implemented,0,0
"04002801029",3538556,AZ,Fully Implemented,0,0
"54005102001",3539356,WV,Considering Implementation,30000,0
"23000098001",1142538,ME,Not Considering Implementation,0,0
