"CWNS_ID","FACILITY_ID","STATE_CODE","CURRENT_EFFLUENT_TREATMENT_LEVEL","CURRENT_DISINFECTION_FLAG","FUTURE_EFFLUENT_TREATMENT_LEVEL","FUTURE_DISINFECTION_FLAG"
"38000276001",1151516,ND,Secondary,N,Secondary,N
"37000805001",1153131,NC,Secondary,Y,Secondary,Y
"19001022001",1124301,IA,Secondary,N,Secondary,N
"20000445001",1130264,KS,Secondary,N,Secondary,N
"20001105001",1130501,KS,Secondary,N,Secondary,N
"20001124001",1130515,KS,Secondary,N,Secondary,N
"20001341001",1130606,KS,Secondary,N,Secondary,N
"29001175001",1133500,MO,Advanced,Y,Advanced,Y
"29002057001",1133664,MO,Advanced,N,Advanced,N
"29002191001",1133722,MO,Advanced,N,Advanced,Y
"29002418001",1133838,MO,Advanced,N,Advanced,Y
"29003160001",1133926,MO,Advanced,N,Advanced,Y
"29004005000",1134031,MO,Advanced,N,Advanced,N
"29004059001",1134076,MO,Advanced,N,Advanced,N
"29004149001",1134161,MO,Advanced,Y,Advanced,Y
"21000290001",1139708,KY,Secondary,Y,Secondary,Y
"21000376003",1139766,KY,Secondary,Y,Secondary,Y
"23000105001",1142544,ME,Secondary,Y,Secondary,Y
"27000236001",1148092,MN,Secondary,N,Secondary,N
"27000362001",1148179,MN,Secondary,N,Secondary,N
"27001505001",1148218,MN,Secondary,N,Secondary,N
"27003314001",1148285,MN,Secondary,N,Secondary,N
"27009119001",1148456,MN,Secondary,N,Secondary,N
"19000781001",1124130,IA,Secondary,N,Secondary,N
"27009204001",1148460,MN,Advanced,Y,Advanced,Y
"42005015001",1196468,PA,Advanced,N,Advanced,N
"27044000207",425401,MN,Advanced,N,Advanced,N
"16000071201",452839,ID,Secondary,Y,Secondary,Y
"10000003001",1066427,DE,Advanced,N,Advanced,Y
"08000406001",1067151,CO,Secondary,Y,Secondary,Y
"04001102001",1069425,AZ,Secondary,N,Secondary,Y
"48004269002",1183493,TX,Secondary,Y,Secondary,Y
"48007719001",1184234,TX,Secondary,Y,Secondary,Y
"48008071001",1184412,TX,Secondary,Y,Secondary,Y
"51000100001",1192687,VA,Advanced,Y,Advanced,Y
"51000234001",1192860,VA,Secondary,Y,Advanced,Y
"51000250001",1192871,VA,Secondary,N,Secondary,N
"55002345001",1206309,WI,Secondary,N,Secondary,N
"55004140001",1206592,WI,Advanced,Y,Advanced,Y
"55004500001",1206636,WI,Secondary,Y,Secondary,Y
"55004830001",1206665,WI,Advanced,Y,Advanced,Y
"55005150001",1206717,WI,Secondary,Y,Secondary,Y
"09000800001",1071870,CT,Advanced,Y,Advanced,Y
"39000012001",1080434,OH,Advanced,N,Advanced,N
"39000241001",1080663,OH,Advanced,Y,Advanced,Y
"39001869001",1080965,OH,Secondary,N,Secondary,N
"39002163001",1080988,OH,Advanced,Y,Advanced,Y
"39005138001",1081262,OH,Advanced,Y,Advanced,Y
"39005222001",1081271,OH,Advanced,Y,Advanced,Y
"39005419006",1081286,OH,Advanced,Y,Advanced,Y
"39008561001",1081645,OH,Advanced,Y,Advanced,Y
"39009065001",1081698,OH,Secondary,N,Secondary,N
"55009531001",1206872,WI,Advanced,Y,Advanced,Y
"55009620001",1206897,WI,Secondary,Y,Advanced,Y
"55009740001",1206940,WI,Advanced,Y,Advanced,Y
"24000016001",1214184,MD,Advanced,Y,Advanced,Y
"02000311001",1216435,AK,Secondary,N,Secondary,N
"36003070001",1220475,NY,Secondary,Y,Secondary,Y
"36006007001",1220937,NY,Secondary,Y,Secondary,Y
"31000045001",1230166,NE,Advanced,N,Advanced,N
"31000954001",1230205,NE,Secondary,N,Secondary,N
"31001466001",1230224,NE,,,,
"20000481001",1230886,KS,Secondary,N,Secondary,N
"20000660001",1230893,KS,Secondary,N,Secondary,N
"27000301001",1231506,MN,Advanced,Y,Advanced,Y
"17009505001",1232767,IL,Secondary,N,Secondary,N
"19000771001",1234681,IA,Secondary,N,Secondary,N
"47000240001",1235035,TN,Secondary,Y,Secondary,Y
"41000085001",1238051,OR,Secondary,Y,Secondary,Y
"41000204001",1238061,OR,Secondary,Y,Secondary,Y
"30000137001",1238250,MT,Advanced,Y,Advanced,Y
"20001714001",2919218,KS,Secondary,N,Secondary,N
"09001620001",1071968,CT,Advanced,Y,Advanced,Y
"34001245001",1073382,NJ,Secondary,N,Advanced,N
"22003383001",1168555,LA,Secondary,Y,Secondary,Y
"49000054001",1170409,UT,Secondary,N,Secondary,N
"40000186001",1172574,OK,Secondary,N,Secondary,Y
"40000776001",1172863,OK,Secondary,Y,Secondary,Y
"40000798001",1172876,OK,Secondary,N,Secondary,N
"06001020001",1175189,CA,Advanced,Y,Advanced,Y
"06003044001",1175412,CA,Advanced,N,Advanced,N
"06003115001",1175455,CA,Secondary,N,Secondary,N
"06005118001",1175649,CA,Secondary,N,Secondary,N
"06005233001",1175721,CA,Advanced,Y,Advanced,Y
"06005325001",1175771,CA,Secondary,N,Secondary,N
"53000658001",1180826,WA,Secondary,Y,Secondary,Y
"53002530001",1181081,WA,Secondary,Y,Secondary,Y
"53002595001",1181093,WA,Secondary,Y,Secondary,Y
"48000154001",1182835,TX,Secondary,Y,Secondary,Y
"48000237001",1182864,TX,Secondary,Y,Secondary,Y
"48001043001",1182900,TX,Secondary,Y,Secondary,Y
"48001119001",1182920,TX,Secondary,Y,Secondary,Y
"48003011002",1183175,TX,Secondary,Y,Secondary,Y
"48004216001",1183469,TX,Secondary,Y,Secondary,Y
"12000101009",409166,FL,Advanced,N,Advanced,N
"06001014001",433503,CA,Advanced,Y,Advanced,Y
"41000233001",1164448,OR,Secondary,N,Secondary,N
"47000085001",1165977,TN,Advanced,Y,Advanced,Y
"47000275001",1166015,TN,Secondary,Y,Secondary,Y
"47000395001",1166037,TN,Secondary,Y,Secondary,Y
"22003001001",1168285,LA,Advanced,Y,Advanced,Y
"31001780001",3344436,NE,Secondary,N,Secondary,N
"36003003002",3481618,NY,Advanced,Y,Advanced,Y
"17002003001",3485851,IL,Advanced,N,Advanced,N
"17002040001",3500020,IL,Secondary,N,Secondary,Y
"39010051101",3514500,OH,Secondary,N,Secondary,N
"20000469001",3085469,KS,Secondary,N,Secondary,N
"39008920011",3123494,OH,Advanced,Y,Advanced,Y
"55000320000",3393570,WI,,,,
"08209000087",3500239,CO,Advanced,Y,Advanced,Y
"09001480001",1071953,CT,Advanced,N,Advanced,N
"34001349001",1073437,NJ,Advanced,N,Advanced,N
"34007021001",1073856,NJ,Secondary,N,Secondary,N
"34007291001",1073886,NJ,Advanced,N,Advanced,Y
"12000044001",1078159,FL,Advanced,Y,Advanced,Y
"12000219001",1078365,FL,Advanced,Y,Advanced,Y
"12000256001",1078388,FL,Advanced,Y,Advanced,Y
"39000154001",1080579,OH,Secondary,N,Secondary,N
"39000161002",1080586,OH,Advanced,Y,Advanced,Y
"39000252001",1080669,OH,Advanced,Y,Advanced,Y
"39000576001",1080821,OH,Advanced,Y,Advanced,Y
"39001199017",1080887,OH,Advanced,Y,Advanced,Y
"39004389001",1081178,OH,Advanced,Y,Advanced,Y
"39007810001",1081562,OH,Secondary,N,Secondary,N
"39009170001",1081720,OH,Advanced,Y,Advanced,Y
"26000715001",1088623,MI,Advanced,N,Advanced,N
"26002042001",1088734,MI,Secondary,N,Secondary,N
"26003029001",1088841,MI,Advanced,N,Advanced,N
"26003070001",1088876,MI,Advanced,N,Advanced,N
"26002179001",1088819,MI,Secondary,N,Secondary,N
"26003114001",1088905,MI,Secondary,N,Secondary,N
"26003127001",1088914,MI,Secondary,N,Secondary,N
"25000238001",1092523,MA,Advanced,Y,Advanced,Y
"54000202001",1094700,WV,Secondary,Y,Secondary,Y
"54000301001",1094709,WV,Secondary,Y,Secondary,Y
"54000701001",1094751,WV,Secondary,N,Secondary,N
"54001017001",1094775,WV,Secondary,Y,Secondary,Y
"54001592002",1094835,WV,Secondary,Y,Secondary,Y
"54003310003",1095104,WV,Secondary,N,Secondary,N
"01000029001",1101858,AL,Secondary,Y,Secondary,Y
"53000385001",1180794,WA,Secondary,Y,Secondary,Y
"48000114001",1182805,TX,Secondary,Y,Secondary,Y
"48001125003",1182929,TX,Secondary,Y,Secondary,Y
"48001209001",1182989,TX,Secondary,Y,Secondary,Y
"48003115001",1183260,TX,Secondary,Y,Secondary,Y
"48003119001",1183263,TX,Secondary,Y,Secondary,Y
"48003299001",1183317,TX,Secondary,Y,Secondary,Y
"48005086001",1183636,TX,Secondary,Y,Secondary,Y
"48007023002",1183798,TX,Secondary,Y,Secondary,Y
"48007695001",1184221,TX,Secondary,Y,Secondary,Y
"48007851001",1184306,TX,Secondary,Y,Secondary,Y
"48007871001",1184319,TX,Secondary,Y,Secondary,Y
"48008075001",1184416,TX,Secondary,Y,Secondary,Y
"51000028001",1192619,VA,Secondary,Y,Secondary,Y
"51000038001",1192630,VA,Secondary,N,Secondary,N
"51000257011",1192881,VA,Secondary,Y,Secondary,Y
"29001237054",463153,MO,Advanced,Y,Advanced,Y
"08000113001",1066914,CO,Advanced,Y,Advanced,Y
"08000500016",1067161,CO,Secondary,Y,Secondary,Y
"08000500048",1067185,CO,Advanced,Y,Advanced,Y
"04000707001",1069377,AZ,Secondary,N,Secondary,N
"04000903001",1069391,AZ,Advanced,N,Advanced,N
"04001717001",1069547,AZ,Advanced,N,Advanced,N
"04001903003",1069551,AZ,Secondary,Y,Secondary,Y
"39000118002",1080541,OH,Advanced,Y,Advanced,Y
"39000861001",1080847,OH,Advanced,Y,Advanced,Y
"39000985001",1080854,OH,Advanced,Y,Advanced,Y
"39003542001",1081121,OH,Advanced,Y,Advanced,Y
"39004595001",1081192,OH,Advanced,Y,Advanced,Y
"39005943001",1081328,OH,Secondary,Y,Secondary,Y
"39007479008",1081532,OH,Advanced,Y,Advanced,Y
"39007994001",1081572,OH,Secondary,N,Secondary,N
"54002107001",3511336,WV,Secondary,N,Secondary,N
"54003880203",3519336,WV,Secondary,N,Secondary,N
"29001019009",3522576,MO,Advanced,Y,Advanced,Y
"01000188003",1102020,AL,Secondary,Y,Secondary,Y
"05000562001",1105362,AR,Secondary,Y,Secondary,Y
"13000092001",1109095,GA,Secondary,Y,Secondary,Y
"13000126001",1109128,GA,Advanced,Y,Advanced,Y
"13000529001",1109328,GA,Secondary,Y,Secondary,Y
"13000618002",1109428,GA,Secondary,Y,Secondary,Y
"17000035001",1113326,IL,Advanced,Y,Advanced,Y
"17000598001",1113877,IL,Advanced,N,Advanced,N
"17001311001",1114075,IL,Secondary,N,Secondary,N
"17003915001",1114184,IL,Secondary,N,Secondary,N
"18001493001",1120248,IN,Advanced,Y,Advanced,Y
"18005131001",1120460,IN,Advanced,Y,Advanced,Y
"19000063001",1123508,IA,Secondary,N,Secondary,N
"19000201001",1123621,IA,Secondary,N,Secondary,N
"19000297001",1123707,IA,Secondary,N,Secondary,N
"19000339001",1123742,IA,Secondary,N,Secondary,N
"19000421001",1123815,IA,Secondary,N,Secondary,N
"19000722001",1124086,IA,Secondary,N,Secondary,N
"19000903001",1124240,IA,Secondary,N,Secondary,N
"19001035001",1124314,IA,Secondary,N,Advanced,Y
"16000028001",1128575,ID,Secondary,Y,Advanced,Y
"16000057001",1128606,ID,,,,
"16000117001",1128657,ID,Secondary,Y,Secondary,Y
"16000233001",1128754,ID,Secondary,N,Secondary,N
"55000039001",1206033,WI,Secondary,Y,Secondary,Y
"55002060001",1206278,WI,Secondary,Y,Secondary,Y
"55004430001",1206633,WI,Advanced,Y,Advanced,Y
"36003006002",1220326,NY,Secondary,Y,Secondary,Y
"36003016001",1220350,NY,Advanced,Y,Advanced,Y
"36003121001",1220565,NY,Advanced,Y,Advanced,Y
"36004038002",1220738,NY,Secondary,Y,Secondary,Y
"36004102002",1220789,NY,Secondary,N,Secondary,N
"36009082002",1221409,NY,Secondary,Y,Secondary,Y
"48009025001",1227951,TX,Secondary,Y,Secondary,Y
"55004730001",1229243,WI,Advanced,Y,Advanced,Y
"20000620001",1230891,KS,Secondary,N,Secondary,N
"20000739001",1230904,KS,Secondary,N,Secondary,N
"36005054001",1232134,NY,Advanced,N,Advanced,N
"36009130001",1232194,NY,Advanced,Y,Advanced,Y
"17000170001",1232699,IL,Advanced,Y,Advanced,Y
"17009703001",1232769,IL,Secondary,N,Secondary,N
"29002464001",1233260,MO,Advanced,Y,Advanced,Y
"26000516001",1088570,MI,Advanced,N,Advanced,N
"26002063001",1088745,MI,Secondary,N,Secondary,N
"26004016001",1089037,MI,Secondary,N,Secondary,N
"02000418001",1104845,AK,Secondary,N,Secondary,N
"05000357001",1105172,AR,Secondary,Y,Secondary,Y
"13000278001",1109279,GA,Secondary,Y,Secondary,Y
"13000778001",1109602,GA,Secondary,Y,Secondary,Y
"13000851001",1109675,GA,Secondary,Y,Secondary,Y
"17000319001",1113584,IL,Advanced,N,Advanced,N
"17000617001",1113892,IL,Advanced,N,Advanced,N
"17000673001",1113941,IL,Advanced,Y,Advanced,Y
"17001104001",1114040,IL,Secondary,N,Secondary,N
"17003017001",1114128,IL,Advanced,N,Advanced,N
"17005317001",1114217,IL,Secondary,N,Secondary,N
"17005713001",1114250,IL,Advanced,N,Advanced,N
"17007209001",1114314,IL,Advanced,N,Advanced,N
"17007512001",1114347,IL,Secondary,N,Secondary,N
"17007718001",1114380,IL,Secondary,N,Secondary,N
"18000005001",1120060,IN,Advanced,Y,Advanced,Y
"18000016001",1120069,IN,Advanced,Y,Advanced,Y
"39004205003",3529457,OH,Advanced,Y,Advanced,Y
"01201200004",3540156,AL,Secondary,N,Secondary,N
"30300302001",3541705,MT,Secondary,N,Secondary,N
"39007030004",385395,OH,Advanced,Y,Advanced,Y
"40000721001",391765,OK,Secondary,N,Secondary,N
"40000493001",394457,OK,Secondary,N,Secondary,N
"20000405001",1130230,KS,Secondary,N,Secondary,N
"20000422001",1130243,KS,Advanced,Y,Advanced,Y
"20000452001",1130272,KS,Secondary,N,Secondary,N
"20000463001",1130280,KS,Advanced,Y,Advanced,Y
"20000703001",1130365,KS,Secondary,N,Secondary,N
"20000981001",1130467,KS,Secondary,N,Secondary,N
"20001901001",1130686,KS,Secondary,N,Secondary,N
"29001083001",1133364,MO,Advanced,Y,Advanced,Y
"29002452001",1133847,MO,Advanced,N,Advanced,Y
"29004058001",1134075,MO,Secondary,N,Secondary,N
"29004059101",1134077,MO,Advanced,Y,,
"23000107001",1142546,ME,Secondary,N,Secondary,N
"23000171001",1142604,ME,Secondary,N,Secondary,N
"66000001006",1143953,GU,Secondary,N,,
"31000225001",1145791,NE,Secondary,N,Secondary,N
"31000231001",1145796,NE,Secondary,N,Secondary,N
"31000431001",1145825,NE,Secondary,N,Secondary,N
"31000865001",1145872,NE,Secondary,N,Secondary,N
"31002655001",1146084,NE,Secondary,N,Secondary,N
"27000175003",1148041,MN,Advanced,Y,Advanced,Y
"27000344001",1148165,MN,Advanced,Y,Advanced,Y
"27005701001",1148358,MN,Advanced,Y,Advanced,Y
"27007014001",1148387,MN,Advanced,Y,Advanced,Y
"27008602001",1148443,MN,Secondary,N,Secondary,N
"18002220001",1234190,IN,Advanced,Y,Advanced,Y
"19000536001",1234664,IA,Secondary,N,Secondary,N
"47000815001",1235054,TN,Secondary,Y,Secondary,Y
"51000054001",1235957,VA,Secondary,Y,Secondary,Y
"51000090001",1235966,VA,Secondary,Y,Secondary,Y
"51000222001",1235983,VA,Secondary,Y,Secondary,Y
"41000027001",1238043,OR,Advanced,Y,Advanced,Y
"48001124201",3119648,TX,Secondary,Y,Secondary,Y
"29001189014",3135388,MO,Advanced,Y,,
"24000061001",1214336,MD,Advanced,Y,Advanced,Y
"24000088001",1214403,MD,Advanced,Y,Advanced,Y
"36003028002",1220383,NY,Secondary,Y,Secondary,Y
"36006113001",1221024,NY,Secondary,Y,Secondary,Y
"36008012001",1221209,NY,Advanced,N,Advanced,Y
"36009084001",1221430,NY,Advanced,Y,Advanced,Y
"48001010001",1227758,TX,Secondary,Y,Secondary,Y
"55000410001",1229138,WI,Advanced,Y,Advanced,Y
"31000069001",1230167,NE,Secondary,N,Secondary,N
"27001506001",1231519,MN,Secondary,N,Secondary,N
"17000285002",1232708,IL,Secondary,N,Secondary,N
"17000287002",1232709,IL,Advanced,N,Advanced,N
"37000904001",1236358,NC,Secondary,Y,Secondary,Y
"40000443001",1236875,OK,Secondary,N,Secondary,N
"40000571001",1236882,OK,Advanced,Y,Advanced,Y
"40000717001",1236892,OK,Secondary,Y,Advanced,Y
"40000789002",1236899,OK,Advanced,Y,Advanced,Y
"36006029001",2813202,NY,Secondary,Y,Secondary,Y
"36003095002",2820980,NY,Secondary,Y,Secondary,Y
"20001903001",2919045,KS,Secondary,N,Secondary,N
"48006022001",417949,TX,Secondary,Y,Secondary,Y
"27044000132",425287,MN,,,Secondary,N
"27044000127",425333,MN,Secondary,N,Secondary,N
"16000067201",452955,ID,Secondary,Y,Secondary,Y
"51000209001",473847,VA,Advanced,Y,Advanced,Y
"08000001001",1066809,CO,Advanced,Y,Advanced,Y
"08000088001",1066891,CO,Secondary,N,Secondary,N
"27009704001",1148574,MN,Secondary,N,Secondary,N
"27009808001",1148582,MN,Secondary,N,Secondary,N
"38000170001",1151415,ND,Secondary,N,Secondary,N
"38000260001",1151500,ND,Secondary,N,Secondary,N
"38000360001",1151596,ND,Secondary,N,Secondary,N
"38000363001",1151599,ND,Secondary,N,Secondary,N
"37001402001",1153196,NC,Secondary,Y,Secondary,Y
"37001903001",1153239,NC,Secondary,N,Advanced,N
"37005602002",1153489,NC,Secondary,N,Secondary,N
"37009701001",1153795,NC,Secondary,Y,Secondary,Y
"45009015001",1157278,SC,Advanced,Y,Advanced,Y
"30000217001",1159249,MT,Secondary,N,Secondary,N
"30000226001",1159254,MT,Secondary,N,Advanced,N
"28000110002",1160200,MS,Advanced,Y,Advanced,Y
"28000170001",1160220,MS,Secondary,N,Secondary,N
"51000424001",463916,VA,Secondary,Y,Secondary,Y
"48001244001",3150368,TX,Secondary,Y,Secondary,Y
"37007611001",3154250,NC,Advanced,Y,Advanced,Y
"08209000128",3500280,CO,Advanced,Y,Advanced,Y
"48007045001",3500841,TX,Secondary,Y,Secondary,Y
"12000383006",3507945,FL,Advanced,Y,Advanced,Y
"35000098001",1145106,NM,Secondary,Y,Secondary,Y
"31000227001",1145792,NE,Secondary,N,Secondary,N
"31000640001",1145851,NE,Secondary,N,Advanced,N
"27000119001",1147995,MN,Secondary,N,Secondary,N
"27000212001",1148073,MN,Advanced,Y,Advanced,Y
"27001017001",1148189,MN,Secondary,N,Secondary,N
"27005805001",1148363,MN,Advanced,Y,Advanced,Y
"27009319001",1148477,MN,Advanced,Y,Advanced,Y
"27009705001",1148575,MN,Advanced,N,Advanced,N
"38000065001",1151318,ND,Secondary,N,Secondary,N
"38000225001",1151465,ND,Secondary,N,Secondary,N
"38000272001",1151512,ND,Secondary,N,Secondary,N
"38000321001",1151557,ND,Secondary,N,Secondary,N
"30000068001",1159131,MT,Secondary,N,Secondary,N
"41000063001",1164325,OR,Secondary,Y,Secondary,Y
"41000254001",1164467,OR,Secondary,Y,Secondary,Y
"47000050001",1165968,TN,Secondary,Y,Secondary,Y
"47000490002",1166050,TN,Secondary,Y,Secondary,Y
"47000744001",1166098,TN,Advanced,Y,Advanced,Y
"72000006003",1144045,PR,Advanced,Y,Advanced,Y
"22001295001",1168270,LA,Advanced,Y,Advanced,Y
"22003156001",1168416,LA,Secondary,Y,Secondary,Y
"22003290001",1168497,LA,Advanced,Y,Advanced,Y
"49000027001",1170384,UT,Secondary,Y,Secondary,Y
"49000116001",1170466,UT,Secondary,Y,Secondary,Y
"40000006001",1172422,OK,Advanced,Y,Advanced,Y
"40000322001",1172616,OK,Secondary,N,Secondary,N
"40000323001",1172617,OK,Secondary,N,Secondary,N
"40000357001",1172636,OK,Secondary,N,Secondary,N
"40000371001",1172647,OK,Secondary,N,Secondary,N
"40000394001",1172660,OK,Secondary,N,Secondary,N
"40000442001",1172689,OK,Secondary,N,Secondary,N
"08000037001",1066840,CO,Advanced,Y,Advanced,Y
"08000216001",1067008,CO,Advanced,Y,Advanced,Y
"04001903002",1069550,AZ,Secondary,Y,Advanced,Y
"09000250001",1071796,CT,Advanced,N,Advanced,N
"09000591001",1071836,CT,Secondary,N,Secondary,N
"09000920001",1071885,CT,Advanced,Y,Advanced,Y
"34002100002",1073524,NJ,Advanced,Y,Advanced,Y
"34003080001",1073642,NJ,Secondary,N,Secondary,N
"34003503001",1073667,NJ,Secondary,N,Secondary,N
"12000236001",1078378,FL,Advanced,Y,Advanced,Y
"12000303001",1078410,FL,Advanced,Y,Advanced,Y
"39000045001",1080468,OH,Advanced,N,Advanced,N
"39000268001",1080684,OH,Secondary,N,Secondary,N
"39000770001",1080844,OH,Advanced,Y,Advanced,Y
"39003815001",1081133,OH,Secondary,N,Secondary,N
"39005051001",1081255,OH,Advanced,Y,Advanced,Y
"17000028001",1113320,IL,Secondary,N,Secondary,N
"17000235001",1113512,IL,Secondary,Y,Advanced,Y
"17000238001",1113516,IL,Advanced,N,Advanced,N
"17000366001",1113634,IL,Advanced,Y,Advanced,Y
"17000516001",1113793,IL,Secondary,N,Secondary,N
"17000716001",1113990,IL,Advanced,Y,Advanced,Y
"17000721001",1113995,IL,Advanced,N,Advanced,N
"17001408002",1114088,IL,Secondary,N,Secondary,N
"17007103001",1114292,IL,Advanced,Y,Advanced,Y
"13000211002",1109245,GA,Advanced,Y,Advanced,Y
"17009511001",1114427,IL,Secondary,N,Secondary,N
"18000282001",1120159,IN,Secondary,Y,Secondary,Y
"18000352001",1120169,IN,Secondary,Y,Secondary,Y
"18004531001",1120370,IN,Advanced,Y,Advanced,Y
"18005134001",1120462,IN,Advanced,Y,Advanced,Y
"18005835001",1120518,IN,Advanced,Y,Advanced,Y
"19000049001",1123496,IA,Secondary,N,Advanced,Y
"19000289001",1123700,IA,Secondary,N,Secondary,N
"19000557001",1123942,IA,Secondary,N,Secondary,N
